epoch,step,train/loss_step
0,4,4569.42578125
0,9,233.50564575195312
0,14,20891.310546875
0,19,1629.9638671875
0,24,528.8536376953125
0,29,1776.394287109375
0,34,7751.04541015625
0,39,2875.8115234375
0,44,2486.33447265625
0,49,10532.02734375
0,54,342.45556640625
0,59,1749.591064453125
0,64,293.2208557128906
0,69,1672.424560546875
0,74,388.87066650390625
0,79,6554.02001953125
0,84,2071.6484375
0,89,604.2656860351562
0,94,20771.068359375
0,99,701.2686767578125
0,104,2281.944091796875
0,109,744.3926391601562
